company_id,price_date,close_price,volume
1,2023-01-01,838.55,63411
1,2023-01-02,824.09,15368
1,2023-01-03,825.61,7119
1,2023-01-04,838.19,15072
1,2023-01-05,844.02,39729
1,2023-01-06,840.64,76724
1,2023-01-07,840.62,72839
1,2023-01-08,840.79,59697
1,2023-01-09,849.56,61123
1,2023-01-10,853.49,79132
1,2023-01-11,868.82,38294
1,2023-01-12,871.5,9541
1,2023-01-13,866.58,41792
1,2023-01-14,878.2,51825
1,2023-01-15,886.32,2881
1,2023-01-16,885.06,90230
1,2023-01-17,875.3,4120
1,2023-01-18,872.97,70738
1,2023-01-19,871.38,46537
1,2023-01-20,877.3,26184
1,2023-01-21,886.14,16158
1,2023-01-22,882.44,65944
1,2023-01-23,894.03,79361
1,2023-01-24,901.96,36550
1,2023-01-25,888.33,22466
1,2023-01-26,901.3,85875
1,2023-01-27,917.58,8522
1,2023-01-28,918.93,65219
1,2023-01-29,926.67,64742
1,2023-01-30,936.68,36587
1,2023-01-31,924.67,21253
1,2023-02-01,906.62,35681
1,2023-02-02,891.81,32827
1,2023-02-03,896.39,89553
1,2023-02-04,908.56,26014
1,2023-02-05,895.26,20114
1,2023-02-06,912.13,55397
1,2023-02-07,900.55,84233
1,2023-02-08,896.77,90022
1,2023-02-09,888.19,39928
1,2023-02-10,888.36,89368
1,2023-02-11,901.47,57861
1,2023-02-12,891.43,40932
1,2023-02-13,908.39,61169
1,2023-02-14,918.61,45536
1,2023-02-15,919.78,43466
1,2023-02-16,927.25,85295
1,2023-02-17,927.52,48605
1,2023-02-18,921.6,18532
1,2023-02-19,937.79,32291
1,2023-02-20,949.07,71819
1,2023-02-21,960.11,93740
1,2023-02-22,964.85,89897
1,2023-02-23,952.03,63044
1,2023-02-24,962.39,27892
1,2023-02-25,971.66,78069
1,2023-02-26,984.53,31975
1,2023-02-27,991.69,31121
1,2023-02-28,1001.17,46834
1,2023-03-01,1005.08,42168
2,2023-01-01,281.21,8679
2,2023-01-02,282.53,85015
2,2023-01-03,277.12,7557
2,2023-01-04,276.65,74034
2,2023-01-05,272.86,27893
2,2023-01-06,269.94,40506
2,2023-01-07,266.97,35907
2,2023-01-08,269.41,61489
2,2023-01-09,264.89,64136
2,2023-01-10,264.65,93521
2,2023-01-11,262.42,72890
2,2023-01-12,264.84,22928
2,2023-01-13,269.11,49627
2,2023-01-14,271.04,15439
2,2023-01-15,268.41,59024
2,2023-01-16,266.47,50469
2,2023-01-17,265.13,64414
2,2023-01-18,264.99,1456
2,2023-01-19,266.58,42790
2,2023-01-20,264.89,10320
2,2023-01-21,261.93,23153
2,2023-01-22,266.49,43818
2,2023-01-23,261.61,14742
2,2023-01-24,257.2,59298
2,2023-01-25,253.98,50357
2,2023-01-26,252.66,80583
2,2023-01-27,250.84,46368
2,2023-01-28,253.06,43901
2,2023-01-29,256.03,66506
2,2023-01-30,255.12,50894
2,2023-01-31,259.88,66499
2,2023-02-01,264.09,18697
2,2023-02-02,263.92,90957
2,2023-02-03,262.04,96798
2,2023-02-04,257.82,90364
2,2023-02-05,257.26,8300
2,2023-02-06,261.16,25942
2,2023-02-07,256.17,14444
2,2023-02-08,257.8,97803
2,2023-02-09,253.79,46732
2,2023-02-10,250.55,74758
2,2023-02-11,246.72,24744
2,2023-02-12,243.73,55699
2,2023-02-13,247.37,51597
2,2023-02-14,243.0,56775
2,2023-02-15,245.89,14083
2,2023-02-16,241.68,19592
2,2023-02-17,244.06,59576
2,2023-02-18,244.46,25698
2,2023-02-19,242.82,96622
2,2023-02-20,240.3,90262
2,2023-02-21,241.07,13206
2,2023-02-22,240.76,94906
2,2023-02-23,239.98,86475
2,2023-02-24,237.64,57521
2,2023-02-25,240.91,92148
2,2023-02-26,240.77,64329
2,2023-02-27,235.98,26069
2,2023-02-28,233.89,10255
2,2023-03-01,231.83,32791
3,2023-01-01,1464.52,43174
3,2023-01-02,1493.11,16169
3,2023-01-03,1491.68,65059
3,2023-01-04,1465.16,71982
3,2023-01-05,1441.71,14887
3,2023-01-06,1422.09,92960
3,2023-01-07,1432.51,65887
3,2023-01-08,1435.69,29987
3,2023-01-09,1442.63,41604
3,2023-01-10,1422.17,69270
